annee,cumul_periode,rss,region,nom_etablissement,nom_installation,no_permis_installation,nb_visites_total,nb_usagers_75ans_et_plus_total,nb_usagers_sante_mentale_total,dms_total,nb_usagers_pec_total,delai_pec_total,nb_visites_ambulatoire,nb_usagers_75ans_et_plus_amb,nb_usagers_sante_mentale_amb,dms_ambulatoire,nb_usagers_pec_ambulatoire,delai_pec_ambulatoire,nb_visites_sur_civiere,nb_usagers_sur_civiere_plus_24h,nb_usagers_sur_civiere_plus_48h,dms_sur_civiere,nb_usagers_pec_sur_civiere,delai_pec_sur_civiere,nb_usagers_75ans_et_plus_civ,nb_usagers_sante_mentale_civ
2021-2022,8,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,CLSC ET CENTRE DE SERVICES AMBULATOIRES DE MURDOCHVILLE,51221307,1051,166,59,3.1492063114,1007,1.6673366987,1044,164,59,3.1095213389,1000,1.6725444444,7,0,0,9.0679365079,7,0.9233730159,2,0
2021-2022,8,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,CLSC ET CENTRE DE SERVICES AMBULATOIRES DE PASPÉBIAC,51220978,7378,1297,298,3.7561569682,6728,1.7765195204,5550,828,233,2.9803196697,4994,1.8700048391,1828,48,7,6.1116804948,1734,1.5072774894,469,65
2021-2022,8,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,HÔPITAL DE CHANDLER,51227775,8718,1470,368,5.1726922587,7739,1.8081072777,7209,918,292,3.5570377306,6238,1.9669973905,1509,171,15,12.891216773,1501,1.1477764823,552,76
2021-2022,8,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,HÔPITAL DE GASPÉ,51220903,8642,1362,384,4.839800972,7618,1.5138797366,6886,759,279,3.4208833946,5872,1.7204249451,1756,110,1,10.403961813,1746,0.8192443044,603,105
2021-2022,8,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,HÔPITAL ET CLSC DE SAINTE-ANNE-DES-MONTS,51247799,8337,1281,363,4.2958382645,7475,1.4872841695,6733,722,270,2.3811942835,5881,1.5355038826,1604,206,65,12.332807045,1594,1.3093794437,559,93
2021-2022,8,11,Gaspésie-Îles-de-la-Madeleine,CISSS DE LA GASPÉSIE,HÔPITAL ET GROUPE DE MÉDECINE DE FAMILLE UNIVERSITAIRE DE MARIA,51227908,10003,1688,487,8.3192009342,9033,2.2812724332,7245,774,225,4.2466572732,6284,2.559332299,2758,830,250,19.017380348,2749,1.645649226,914,262
2021-2022,8,11,Gaspésie-Îles-de-la-Madeleine,CISSS DES ÎLES,HÔPITAL DE L'ARCHIPEL,51227783,9831,1222,300,3.3577630003,8557,1.0525529456,8191,826,167,2.2233741301,6924,1.1219737708,1640,83,2,9.0234820461,1633,0.758205246,396,133
2021-2022,8,12,Chaudière-Appalaches,CISSS DE CHAUDIÈRE-APPALACHES,CHSLD ET HÔPITAL PAUL-GILBERT,51245199,6283,382,99,2.3799299698,5360,1.3790443615,5880,346,89,2.3063179327,4959,1.4398883063,403,0,0,3.4539716019,401,0.6266126351,36,10
2021-2022,8,12,Chaudière-Appalaches,CISSS DE CHAUDIÈRE-APPALACHES,HÔPITAL DE MONTMAGNY,51245223,19896,2909,691,4.2806651253,18237,1.3823928917,15110,1394,321,2.444544893,13457,1.6108278839,4786,244,1,10.077526118,4780,0.7392862622,1515,370
2021-2022,8,12,Chaudière-Appalaches,CISSS DE CHAUDIÈRE-APPALACHES,HÔPITAL DE SAINT-GEORGES,51228971,24402,4014,1299,6.2876507732,20151,2.0665560435,16682,1422,570,3.5333776259,12452,2.5356230146,7720,785,16,12.239306815,7699,1.3079092162,2592,729
2021-2022,8,12,Chaudière-Appalaches,CISSS DE CHAUDIÈRE-APPALACHES,HÔPITAL DE THETFORD,51245231,22106,3417,698,5.6027263086,19437,1.3119374275,17017,1679,339,3.6481159364,14348,1.4843922111,5089,560,13,12.138706797,5089,0.8257159232,1738,359
2021-2022,8,12,Chaudière-Appalaches,CISSS DE CHAUDIÈRE-APPALACHES,HÔTEL-DIEU DE LÉVIS,51227569,49761,8315,3065,6.6027689802,42276,1.0617597586,34980,3057,1482,2.6762884664,27497,1.3273206673,14781,3392,418,15.894987935,14779,0.5676716399,5258,1583
2021-2022,8,13,Laval,CISSS DE LAVAL,HÔPITAL DE LA CITÉ-DE-LA-SANTÉ,51228757,55756,8940,3498,8.273610578,42666,2.8768544495,37066,2739,1042,4.9177766237,24032,3.6700023233,18690,3029,191,14.92889904,18634,1.8539431207,6201,2456
2021-2022,8,14,Lanaudière,CISSS DE LANAUDIÈRE,HÔPITAL DE LANAUDIÈRE ET CENTRE D'HÉBERGEMENT PARPHILIA-FERLAND,51244945,40878,6619,2881,9.2323780042,34177,2.4051572858,25982,1881,2002,5.3181730942,19385,3.0881709942,14896,3575,503,16.059638475,14792,1.5100639422,4738,879
2021-2022,8,14,Lanaudière,CISSS DE LANAUDIÈRE,HÔPITAL PIERRE-LE GARDEUR,51228062,46105,7101,2634,10.552869398,30763,4.6895160041,31461,2439,978,6.5712286376,16189,6.1694674024,14644,4800,426,19.106980295,14574,3.0455656001,4662,1656
2021-2022,8,15,Laurentides,CISSS DES LAURENTIDES,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX D'ARGENTEUIL,51245306,12696,1511,497,8.1524428079,10643,3.2599878637,10453,825,336,5.2316000723,8408,3.6202249181,2243,736,210,21.764377322,2235,1.9047873478,686,161
2021-2022,8,15,Laurentides,CISSS DES LAURENTIDES,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE RIVIÈRE-ROUGE,51217628,8812,1031,515,6.3694672038,7799,2.4023095554,6743,540,245,3.4135474649,5766,2.5418828285,2069,435,130,16.002993932,2033,2.0064514675,491,270
2021-2022,8,15,Laurentides,CISSS DES LAURENTIDES,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-AGATHE,51246874,18435,2905,1199,12.312132372,14449,4.1699314062,12288,1145,363,7.1296845387,8366,5.2566971472,6147,2122,639,22.671969524,6083,2.6752935321,1760,836
2021-2022,8,15,Laurentides,CISSS DES LAURENTIDES,HÔPITAL DE MONT-LAURIER,51217610,10385,1413,573,8.8000563847,8407,3.2891368965,7939,705,327,6.0193032988,6011,3.5989019668,2446,614,158,17.825566912,2396,2.5120092515,708,246
2021-2022,8,15,Laurentides,CISSS DES LAURENTIDES,HÔPITAL DE SAINT-EUSTACHE,51228864,29361,5314,1710,11.998132585,20899,3.2869995773,17582,1433,579,6.0631096039,9176,4.9736214037,11779,3953,1162,20.857082756,11723,1.9668219881,3881,1131
2021-2022,8,15,Laurentides,CISSS DES LAURENTIDES,HÔPITAL DE SAINT-JÉRÔME,51228880,33304,5466,3125,16.15666655,23728,4.6636537822,20022,1724,967,7.6814459789,10526,6.5041453966,13282,5748,2672,28.93266913,13202,3.1962234889,3742,2158
2021-2022,8,16,Montérégie,CISSS DE LA MONTÉRÉGIE-CENTRE,HÔPITAL CHARLES-LE MOYNE,51233799,46850,7582,3967,9.6886717479,26518,4.7085905171,32905,2831,1761,5.565011177,12581,5.8437787139,13945,4434,473,19.418973009,13937,3.6838504221,4751,2206
2021-2022,8,16,Montérégie,CISSS DE LA MONTÉRÉGIE-CENTRE,HÔPITAL DU HAUT-RICHELIEU,51229045,38719,5597,2422,9.1267541632,29320,2.7782122556,27950,2127,980,4.9422737527,18596,3.4258586076,10769,3227,1190,19.98720801,10724,1.6551582121,3470,1442
2021-2022,8,16,Montérégie,CISSS DE LA MONTÉRÉGIE-EST,HÔPITAL HONORÉ-MERCIER,51229193,30087,5000,1773,8.500125331,22456,3.0739923505,22513,2079,909,4.579963737,14899,3.6844392055,7574,2346,649,20.152435598,7557,1.8704661241,2921,864
2021-2022,8,16,Montérégie,CISSS DE LA MONTÉRÉGIE-EST,HÔPITAL PIERRE-BOUCHER,51229011,34437,6213,2072,12.187661527,25324,3.6363879675,16885,1642,594,4.8965807094,7947,4.8422093243,17552,4835,2011,19.201671304,17377,3.0849313109,4571,1478
2021-2022,8,16,Montérégie,CISSS DE LA MONTÉRÉGIE-EST,HÔTEL-DIEU DE SOREL,51229102,20090,3295,1019,9.1124146203,16644,2.6791703383,13224,1326,332,5.1162381529,9840,3.3527591463,6866,1731,417,16.809099387,6804,1.7050207394,1969,687
2021-2022,8,16,Montérégie,CISSS DE LA MONTÉRÉGIE-OUEST,HÔPITAL ANNA-LABERGE,51229151,24306,4191,1406,14.046331507,18911,2.4121080324,15399,1143,391,7.3991016733,10004,3.3929628149,8907,3666,1266,25.5384941,8907,1.3104496463,3048,1015
2021-2022,8,16,Montérégie,CISSS DE LA MONTÉRÉGIE-OUEST,HÔPITAL BARRIE MEMORIAL / BARRIE MEMORIAL HOSPITAL,51228005,11920,1224,220,6.4113334265,9775,3.6435883774,9974,672,172,4.5833084074,7844,3.2570938863,1946,441,43,15.780666181,1931,5.2135846424,552,48
2021-2022,8,16,Montérégie,CISSS DE LA MONTÉRÉGIE-OUEST,HÔPITAL DU SUROÎT,51229136,22023,4414,1769,14.986994657,18072,2.2419411398,13740,1199,1156,4.7110921074,9858,3.0435393702,8283,2893,1786,32.032859807,8214,1.2799061562,3215,613
2022-2023,8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,51218352,13257,2268,628,5.1729094902,10980,2.2909846944,9746,932,375,3.3701954078,7496,2.546291096,3511,99,5,10.176968575,3484,1.7416802207,1336,253
2022-2023,8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,51236156,6835,963,184,3.221428107,6145,1.3917450954,5989,660,147,2.4837425558,5310,1.4761000209,846,45,1,8.4436488705,835,0.8553083832,303,37
2022-2023,8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CLSC DE POHÉNÉGAMOOK,51219418,6240,752,136,1.6454427528,5693,0.7441542245,5827,623,120,1.2974361211,5286,0.7517587863,413,6,0,6.5554539952,407,0.6453883429,129,16
2022-2023,8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL D'AMQUI,51226892,9908,1501,282,3.9815692146,8742,1.6666196713,5530,509,162,3.1052145871,4530,1.899099583,4378,22,2,5.08852241,4212,1.4165878574,992,120
2022-2023,8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE MATANE,51218980,11814,1933,462,4.7028428841,10422,2.6658961812,8871,959,246,4.1694348,7550,3.0085451435,2943,31,1,6.3106794843,2872,1.7651302809,974,216
2022-2023,8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE NOTRE-DAME-DU-LAC,51221877,8408,1341,228,3.7759000026,7557,1.4044479364,6722,716,114,2.314879996,5879,1.5539903801,1686,93,7,9.6009157111,1678,0.8805146669,625,114
2022-2023,8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL NOTRE-DAME-DE-FATIMA,51221141,10272,1589,272,3.347697246,9500,1.3955475439,8339,857,142,2.5128178172,7581,1.5069714124,1933,3,0,6.9493835144,1919,0.9553681026,732,130
2022-2023,8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL RÉGIONAL DE RIMOUSKI,51227882,20232,3411,974,5.6677050657,15541,2.5435117324,14643,1384,610,4.1503089076,9994,2.9913899173,5589,254,8,9.6432341305,5547,1.7365720209,2027,364
2022-2023,8,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL D'ALMA,51219400,21682,3054,771,5.058625729,16927,2.8740816119,16762,1554,356,3.7947849633,12112,3.0874454398,4920,190,12,9.3644181911,4815,2.3373707742,1500,415
2022-2023,8,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE CHICOUTIMI,51218394,33930,5111,2097,7.630773406,29071,2.5312456763,20046,1479,674,3.9331778576,15317,3.3587053782,13884,2054,349,12.969436642,13754,1.6097537282,3632,1423
2022-2023,8,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE DOLBEAU-MISTASSINI,51219384,12895,2000,469,4.3475317953,11698,1.787710791,10840,1251,260,2.9434130279,9663,1.9157662389,2055,256,54,11.754172885,2035,1.1796519247,749,209
2022-2023,8,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE LA BAIE,51221364,12251,1420,373,5.1982900262,11202,2.5583911107,9883,684,232,3.8845860737,8854,2.7910754085,2368,159,26,10.681117797,2348,1.6809691463,736,141
2022-2023,8,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,51228203,14961,2026,943,5.4181295814,13413,2.1844374032,10442,832,305,3.2575012503,8965,2.3769972733,4519,426,71,10.410667982,4448,1.7963305606,1194,638
2022-2023,8,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,51224541,16195,2727,782,8.1090910775,12673,4.1198573739,10230,894,273,5.0935793147,6918,4.5154397947,5965,791,73,13.280706389,5755,3.6443336229,1833,509
2022-2023,8,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,CENTRE HOSPITALIER DE L'UNIVERSITÉ LAVAL,51217594,47243,3414,4433,8.013412863,38074,2.0294605388,27010,714,1483,4.7582782097,17906,3.055354971,20233,2213,701,12.358847894,20168,1.118628245,2700,2950
2022-2023,8,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DE L'ENFANT-JÉSUS,51233914,36326,5858,4430,10.755651638,32362,1.7009336224,20688,1913,1177,4.1140081206,16752,2.1486907036,15638,4314,1198,19.54208987,15610,1.2204194249,3945,3253
2022-2023,8,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DU SAINT-SACREMENT,51217529,21636,4734,569,7.9601364624,17177,2.1434034044,15556,1961,198,3.7901837626,11122,2.5771141781,6080,1601,480,18.629179916,6055,1.3467508487,2773,371
2022-2023,8,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL SAINT-FRANÇOIS D'ASSISE,51217602,25310,5899,806,10.530397954,20535,2.0681064172,15550,1771,395,4.252713737,10803,2.7558907248,9760,3174,814,20.532241149,9732,1.304631913,4128,411
2022-2023,8,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,L'HÔTEL-DIEU DE QUÉBEC,51217586,12170,3123,646,8.2034960741,10964,1.5611481009,6099,836,220,3.3671414713,4945,1.8089790473,6071,838,30,13.062156381,6019,1.3575388584,2287,426
2022-2023,8,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHAUVEAU,51225001,27260,1831,340,3.2828945953,18124,2.1162678554,24836,1556,277,3.124733608,15755,2.2360910998,2424,0,0,4.9033922351,2369,1.3193851133,275,63
2022-2023,8,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE BAIE-SAINT-PAUL,51244804,8488,1414,235,4.3560696146,6541,2.0156567973,6794,872,100,2.8614827626,4858,2.2755460066,1694,129,12,10.350298111,1683,1.2654834291,542,135
2022-2023,8,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-MARC-DES-CARRIÈRES,51247344,10545,1376,255,3.2090758917,8602,1.6880200018,8437,707,157,2.4829393018,6538,1.956455338,2108,30,3,6.1153445868,2064,0.8377146587,669,98
2022-2023,8,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-RAYMOND,51247302,12923,1582,224,4.2424341398,10087,2.327277574,10480,847,131,3.3150226092,7669,2.6890613364,2443,79,8,8.2208511848,2418,1.1798335401,735,93
2022-2023,8,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-ANNE-DE-BEAUPRÉ,51225357,11487,1270,185,3.8293629514,8459,2.1327759717,9990,795,137,3.1620998777,7012,2.3196258398,1497,57,8,8.2822407779,1447,1.2273224295,475,48
2022-2023,8,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,HÔPITAL ET CLSC DE LA MALBAIE,51228690,9130,1490,257,5.6052255385,7497,1.8983461162,7291,878,155,3.3728981697,5673,2.1973710265,1839,298,73,14.455632741,1824,0.9683196272,612,102
2022-2023,8,03,Capitale-Nationale,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC - UNIVERSITÉ LAVAL,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC,51232130,16813,5343,387,8.1620672165,15866,1.9445188523,8566,1771,196,3.9723639323,7644,2.4448826967,8247,863,0,12.513831292,8222,1.4793301846,3572,191
2022-2023,8,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX AVELLIN-DALCOURT,51233583,13659,1765,317,5.7573788345,10688,3.8238424193,11602,983,211,4.9359721265,8643,4.2791030314,2057,100,14,10.390320315,2045,1.8997262972,782,106
2022-2023,8,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHRIST-ROI,51246338,14467,1443,376,5.6807748285,10669,4.0951496287,12381,754,251,4.7511378322,8617,4.3605374711,2086,177,28,11.198433339,2052,2.9807017544,689,125
2022-2023,8,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE FORTIERVILLE,51219160,9246,773,164,2.277251424,7059,1.8490915852,8546,661,138,2.1627829459,6366,1.9278393025,700,0,0,3.6747480159,693,1.1257034632,112,26
2022-2023,8,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DU HAUT-SAINT-MAURICE,51219731,7676,1146,417,5.9035610633,6425,3.0290801989,5774,632,207,4.1410694011,4573,3.3135909444,1902,177,12,11.25404837,1852,2.3265598752,514,210
2022-2023,8,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,HÔPITAL DU CENTRE-DE-LA-MAURICIE,51220051,21072,3921,1465,7.9764869653,16400,2.8534346206,12959,1054,284,4.6953392537,8353,3.981972046,8113,1117,148,13.217506711,8047,1.681982761,2867,1181
2022-2023,8,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,HÔPITAL SAINTE-CROIX,51228781,26079,3468,1542,8.8219732991,19071,3.8768490116,16124,1060,415,6.4450850526,9428,5.1194043747,9955,1390,46,12.671792092,9643,2.6619976206,2408,1127
2022-2023,8,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,HÔTEL-DIEU D'ARTHABASKA,51228039,22367,3704,1307,6.5799986836,18098,2.1504833254,13406,1155,280,3.6553130232,9278,2.7293133697,8961,995,59,10.955440706,8820,1.5415961199,2549,1027
2022-2023,8,04,Mauricie et Centre-du-Québec,CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,PAVILLON SAINTE-MARIE,51220168,36686,7862,2186,11.025022185,27180,3.5542674352,20372,1718,595,5.6490573936,11067,5.3380926026,16314,4311,771,17.738222794,16113,2.3290708158,6144,1591
2022-2023,8,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU GRANIT,51223832,9404,1488,279,6.5603264273,7676,3.5307249146,7541,878,156,5.0056050995,5833,3.9310820142,1863,246,34,12.853484523,1843,2.2636153313,610,123
2022-2023,8,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE LA MRC DE COATICOOK,51247617,11202,795,293,2.7124434625,9385,1.8715664772,8872,433,219,2.5168468528,7091,2.0031187812,2330,0,0,3.4572216261,2294,1.4649241984,362,74
2022-2023,8,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE MEMPHRÉMAGOG,51219046,14396,2781,503,6.918241564,12032,2.7262849993,10599,1258,278,3.9531748278,8293,3.0386351608,3797,695,289,15.194971176,3739,2.0335008618,1523,225
2022-2023,8,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DES SOURCES,51247583,11406,1187,349,6.0407260068,8831,4.2107743869,10123,758,272,5.3918603949,7567,4.4835548728,1283,100,12,11.160341431,1264,2.5777601969,429,77
2022-2023,8,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CHUS - HÔPITAL FLEURIMONT,51216687,29749,3824,625,8.8023059599,24779,2.9423429786,16198,730,254,5.9976766679,11232,4.8480754392,13551,1848,140,12.154780705,13547,1.3622745503,3094,371
2022-2023,8,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,CHUS - HÔTEL-DIEU DE SHERBROOKE,51216695,30107,5574,3759,10.598779907,24969,2.8009131323,14693,1181,693,5.3691145443,9586,4.4683322901,15414,3237,765,15.583824229,15383,1.7618518278,4393,3066
2022-2023,8,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,HÔPITAL BROME-MISSISQUOI-PERKINS,51229185,17629,2648,568,9.7266104304,13679,3.8707125074,12706,962,239,5.4367630341,8817,4.4407711429,4923,1416,552,20.798477385,4862,2.8369389597,1686,329
2022-2023,8,05,Estrie,CIUSSS DE L'ESTRIE - CENTRE HOSPITALIER UNIVERSITAIRE DE SHERBROOKE,HÔPITAL DE GRANBY,51228120,24023,3900,1389,11.108487699,18006,4.6362041357,16335,1350,522,6.9887797844,10380,6.0027927103,7688,2515,551,19.861795294,7626,2.7760953755,2550,867
2022-2023,8,06,Montréal,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,51236297,41436,5730,3326,13.925633608,31876,3.1184813374,25234,1594,1236,7.4434561945,15805,4.8737524166,16202,6546,1855,24.021378876,16071,1.3922627196,4136,2090
2022-2023,8,06,Montréal,CENTRE HOSPITALIER UNIVERSITAIRE SAINTE-JUSTINE,CHU SAINTE-JUSTINE,51222800,57639,0,1155,6.2530935458,45380,2.9682232567,39291,0,576,5.6645364644,27979,3.6772012541,18348,357,5,7.5134486956,17401,1.8282603011,0,579
2022-2023,8,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,HÔPITAL DE LACHINE,51228310,11945,1222,256,7.1413284266,10702,2.9595976349,9932,585,145,4.3029090873,8705,3.0503109643,2013,576,212,21.14588922,1997,2.5641747343,637,111
2022-2023,8,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,HÔPITAL GÉNÉRAL DE MONTRÉAL,51248219,19484,3168,2318,16.844529771,16570,1.8960401328,8240,619,474,5.9961883765,5439,2.8459479377,11244,3482,1764,24.794577182,11131,1.4318816069,2549,1844
2022-2023,8,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,HÔPITAL ROYAL VICTORIA,51223295,29064,4484,749,16.72600704,21989,4.3851700219,18984,1348,352,8.6940095022,12080,5.6271745769,10080,4408,2192,31.852935736,9909,2.8710500275,3136,397
2022-2023,8,06,Montréal,CENTRE UNIVERSITAIRE DE SANTÉ MCGILL,L'HÔPITAL DE MONTRÉAL POUR ENFANTS,51223279,49782,2,1450,7.6196980502,39882,2.8499429567,38449,0,442,7.0428680055,28643,3.5077249338,11333,602,36,9.5766854662,11239,1.1735616801,2,1008
2022-2023,8,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL MAISONNEUVE-ROSEMONT,12934659,41273,7407,3040,13.203716036,29827,3.4962554714,24672,1816,725,5.7944426768,13484,4.8388198359,16601,5993,2479,24.215196809,16343,2.3885556677,5591,2315
2022-2023,8,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL SANTA CABRINI,51235919,21803,5490,732,13.649043964,16966,3.0160826555,13328,1420,297,5.1270815618,8526,4.1884891313,8475,3201,1527,27.05089823,8440,1.8317298578,4070,435
2022-2023,8,06,Montréal,CIUSSS DE L'EST-DE-L'ÎLE-DE-MONTRÉAL,INSTITUT UNIVERSITAIRE EN SANTÉ MENTALE DE MONTRÉAL,51235307,2851,117,2842,18.380192135,2728,1.5637605898,1173,32,1164,3.6220765843,1050,1.7688015873,1678,884,303,28.69680092,1678,1.4354572242,85,1678
2022-2023,8,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,CENTRE HOSPITALIER DE ST. MARY,51248243,21285,3955,1500,10.452496333,19633,2.4391517258,14350,1245,538,5.6586741192,12709,2.9296034962,6935,2154,446,20.371941,6924,1.538927643,2710,962
2022-2023,8,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL DE LASALLE,51224392,16327,2534,517,9.8065657262,12739,3.2376907964,12355,974,172,5.5360757003,8818,3.8037855019,3972,1268,524,23.090026015,3921,1.9645913032,1560,345
2022-2023,8,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL DOUGLAS,51235190,3303,64,3151,8.9975388536,2988,1.9311523873,1839,28,1693,3.4519100054,1526,1.9260830785,1464,293,48,15.963666894,1462,1.9364436085,36,1458
2022-2023,8,06,Montréal,CIUSSS DE L'OUEST-DE-L'ÎLE-DE-MONTRÉAL,HÔPITAL GÉNÉRAL DU LAKESHORE,51228278,23751,5058,1863,14.790014631,19191,2.7164810328,15334,1505,301,7.0015930467,10797,3.5051414745,8417,3294,1649,28.978877239,8394,1.7020461044,3553,1562
